"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary,Fog_Index,Flesch_Index,Flesch-Kncaid,Lix-Index,Rix-Index
D:/Python_10K_Analysis/Test01/2007\1000180.txt,1284735,5939,1.0944603468597407,0.5388112476847954,0.9934332379188415,0.235729920862098,0.2694056238423977,0.13470281192119885,0.15154066341134872,0.28624347533254757,38007,878,301,1.8489644721333558,5.457147667957568,1235,17.736655119396932,30.198392542763997,13.831911918714583,54.057078108308794,5.689750692520776
D:/Python_10K_Analysis/Test01/2007\1000209.txt,2211915,5537,0.541809644211667,0.5959906086328337,1.101679609897056,0.4876286797905003,0.19866353621094454,0.3973270724218891,0.2528445006321113,0.5237493227379447,35881,2193,562,1.8831497200650171,5.581722954668593,1088,20.45245796478912,23.75080339204314,15.601457153198737,61.190743972836074,8.447105788423153
D:/Python_10K_Analysis/Test01/2007\1000227.txt,742432,6239,0.9456643692899502,1.8913287385799005,2.147780092963616,0.689213014906235,1.0418336271838435,0.40070524122455525,0.3526206122776086,0.849495111396057,38725,723,246,1.9275524923866003,5.6951434524763584,1344,21.1089939627077,18.48039247742696,16.707119410161884,64.29676764438746,9.085923217550274
D:/Python_10K_Analysis/Test01/2007\1000229.txt,3863170,6174,1.2957563977972142,1.473922902494331,1.7654680919987045,0.9394233884029802,0.8746355685131195,0.275348234531908,0.2915451895043732,0.8260447035957239,37651,1157,360,1.8845157110463233,5.534013605442177,1284,20.62618221766403,22.185761359315052,16.174518591927644,62.67656665527118,8.719557195571955
D:/Python_10K_Analysis/Test01/2007\1000230.txt,994913,6188,0.7433742727860374,1.0019392372333549,1.6321913380736912,0.9534583063994829,0.5656108597285068,0.42016806722689076,0.1777634130575307,0.3555268261150614,37903,1172,397,1.905623787976729,5.593083387201034,1149,18.79373737824042,23.511227537168736,15.228153801573681,56.55124713015179,7.109298531810767
D:/Python_10K_Analysis/Test01/2007\1000298.txt,1685746,5220,0.40229885057471265,0.9195402298850575,1.3218390804597702,0.24904214559386975,0.3448275862068966,0.2681992337164751,0.11494252873563218,0.4980842911877395,36490,1468,486,1.9517241379310344,5.798084291187739,1027,23.00296158227193,12.629678471575033,18.454669151910537,69.74878326602465,10.977215189873418
D:/Python_10K_Analysis/Test01/2007\1000694.txt,1276279,5638,1.4721532458318551,0.7804185881518269,0.8691025186236254,0.4966300106420717,0.4256828662646328,0.5321035828307911,0.4966300106420717,0.5675771550195104,35279,577,202,1.9354380986165307,5.692976232706633,1375,19.610178765304696,20.970535341890013,15.587033200038698,61.26382931836993,7.718696397941681
D:/Python_10K_Analysis/Test01/2007\1000697.txt,1776537,5595,0.8221626452189456,0.8400357462019661,1.2153708668453977,0.5361930294906166,0.32171581769436997,0.42895442359249336,0.1966041108132261,0.4110813226094728,35934,704,230,2.0057193923145666,5.853976764968722,1284,21.171140240262517,14.254795536669889,16.712192386624142,64.79558965338194,8.683636363636364
D:/Python_10K_Analysis/Test01/2007\1000753.txt,898376,5211,0.9403185568988677,1.0746497793129919,1.4200729226635962,1.2857417002494722,0.26866244482824797,0.26866244482824797,0.11514104778353484,0.26866244482824797,36996,681,252,1.9633467664555748,5.822682786413356,1245,22.972194743097816,12.593900207073034,18.227753624280496,69.3475853033404,10.878411910669975
D:/Python_10K_Analysis/Test01/2007\1001193.txt,1432423,6025,1.211618257261411,3.2365145228215773,2.04149377593361,0.9128630705394192,1.161825726141079,0.2157676348547718,0.33195020746887965,0.4813278008298756,35667,864,279,1.860746887966805,5.527302904564316,1117,21.63799074369614,19.564971931854473,17.6736882780083,66.493317108203,10.347826086956522
