Ticker,Security Name,Company Name,Trading Status,Exchanges,Most Recent Trade Price ($USD Historical rate),Equity Security Type,CIK,Industry Classifications,% Change - Dividend Adj. Day Close Price [03/01/2006-03/01/2007],% Change - Dividend Adj. Day Close Price [03/01/2007-03/01/2008],% Change - Dividend Adj. Day Close Price [03/01/2008-03/01/2009],% Change - Dividend Adj. Day Close Price [03/01/2009-03/01/2010],% Change - Dividend Adj. Day Close Price [03/01/2010-03/01/2011],% Change - Dividend Adj. Day Close Price [03/01/2011-03/01/2012],% Change - Dividend Adj. Day Close Price [03/01/2012-03/01/2013],% Change - Dividend Adj. Day Close Price [03/01/2013-03/01/2014],% Change - Dividend Adj. Day Close Price [03/01/2014-03/01/2015],% Change - Dividend Adj. Day Close Price [03/01/2015-03/01/2016],% Change - Dividend Adj. Day Close Price [03/01/2016-03/01/2017],% Change - Dividend Adj. Day Close Price [03/01/2017-03/01/2018],% Change - Dividend Adj. Day Close Price [03/01/2018-03/01/2019],% Change - Dividend Adj. Day Close Price [03/01/2019-03/01/2020],% Change - Dividend Adj. Day Close Price [03/01/2020-03/01/2021]
AMEX:UUUU,Common Shares,Energy Fuels Inc.,Active,NYSE MKT LLC (AMEX), 5.54 ,Common Stock,0001385849,Coal and Consumable Fuels (Primary); Energy (Primary); Energy (Primary); Oil Gas and Consumable Fuels (Primary); Uranium Ores (Primary); Diversified Metal Ores; Diversified Metals and Mining; Materials; Materials; Metals and Mining; Vanadium Ores,1938.10,-60.30,-87.10,6.82,351.10,-66.00,-58.30,58.70,-49.30,-44.80,-15.30,-29.40,103.00,-59.20,298.20
AMEX:THM,Common Shares,International Tower Hill Mines Ltd.,Active,NYSE MKT LLC (AMEX), 1.09 ,Common Stock,0001134115,Gold (Primary); Gold Ores (Primary); Materials (Primary); Materials (Primary); Metals and Mining (Primary),950.00,-32.60,50.00,152.50,33.60,-46.20,-67.50,-54.60,-31.10,-29.40,102.80,-21.90,33.30,-18.40,132.30
NasdaqCM:CSBR,Common Stock,Champions Oncology Inc.,Active,Nasdaq Capital Market (NasdaqCM), 10.9 ,Common Stock,0000771856,Health Care (Primary); Life Sciences Tools and Services (Primary); Life Sciences Tools and Services (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary),757.10,350.00,-18.50,-18.20,-2.22,-23.90,-14.90,107.00,-72.90,-4.79,0.68,-7.85,236.80,-44.80,87.30
NasdaqGM:RDNT,Common Stock,RadNet Inc.,Active,Nasdaq Global Market (NasdaqGM), 22.26 ,Common Stock,0000790526,Diagnostic Imaging Centers (Primary); Health Care (Primary); Health Care Equipment and Services (Primary); Health Care Providers and Services (Primary); Health Care Services (Primary); Medical Laboratory Services (Primary); Health Care Technology; Health Care Technology; Healthcare Industry Software,686.80,35.60,-71.80,-7.86,53.10,-8.67,-4.75,-31.00,351.50,-34.40,6.96,63.40,42.60,42.60,-4.99
NasdaqCM:ABEO,Common Stock,Abeona Therapeutics Inc.,Active,Nasdaq Capital Market (NasdaqCM), 1.62 ,Common Stock,0000318306,Biotechnology (Primary); Biotechnology (Primary); Gene Research and Development (Primary); Health Care (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary),550.00,-68.50,-37.80,92.90,-20.40,-37.20,-63.70,-20.40,-83.10,-36.40,159.50,156.90,-45.60,-59.50,-24.00
NasdaqCM:CRWS,Common Stock,Crown Crafts Inc.,Active,Nasdaq Capital Market (NasdaqCM), 7.79 ,Common Stock,0000025895,Consumer Discretionary (Primary); Consumer Durables and Apparel (Primary); Linens and Bedding (Primary); Textiles (Primary); Textiles Apparel and Luxury Goods (Primary); Towels (Primary); Apparel; Apparel Accessories and Luxury Goods; Baby and Toddler Furniture and Accessories; Baby Care Products; Consumer Staples; Games and Toys; Hobbies Toys and Games; Home Furnishings; Household and Personal Products; Household Durables; Infant's Apparel; Leisure Products; Leisure Products; Personal Products; Personal Products; Sporting and Recreational Goods,470.30,1.92,-39.50,50.20,50.50,-14.60,61.50,66.30,-4.99,6.39,0.28,-13.80,-10.10,24.30,34.40
NasdaqGS:OPK,Common Stock,OPKO Health Inc.,Active,Nasdaq Global Select (NasdaqGS), 4.27 ,Common Stock,0000944809,Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Anti-infective Drugs; Antibiotics; Blood Analyzers; Cardiovascular Drugs; Consumer Staples; Gastrointestinal Drugs; Health Care Equipment; Health Care Equipment and Services; Health Care Equipment and Supplies; Health Care Providers and Services; Health Care Services; Hormones and Hormone Antagonists; Household and Personal Products; Medical Equipment; Medical Laboratory Services; Medical Testing Analyzing and Diagnostic Equipment; Medicinal Chemicals and Botanical Products; Oncology Drugs; Personal Products; Personal Products; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals; Vaccines; Veterinary Drugs; Vitamins and Nutritional Supplements,411.90,21.80,-56.80,81.40,131.20,2.32,44.10,36.20,52.90,-35.80,-10.50,-62.00,-13.80,-45.30,213.30
NYSE:AENZ,SPONSORED ADS,Aenza S.A.A.,Active,New York Stock Exchange (NYSE), 1.75 ,Depository Receipt (Common Stock),0001080275; 0001572621,Bridge Tunnel and Elevated Highway Construction (Primary); Capital Goods (Primary); Commercial and Institutional Buildings (Primary); Commercial Construction and Engineering (Primary); Commercial Construction General Contractors and Operative Builders (Primary); Construction and Engineering (Primary); Construction and Engineering (Primary); Construction Support Services (Primary); Engineering and Surveying Services (Primary); Engineering Services (Primary); Heavy Construction (Primary); Highway and Street Construction (Primary); Industrial Buildings and Warehouses (Primary); Industrial Nonbuilding Structures Construction (Primary); Industrials (Primary); Nonbuilding Structures Construction (Primary); Consumer Discretionary; Consumer Durables and Apparel; Energy; Energy; Energy Equipment and Services; Highways and Railtracks; Homebuilding; Household Durables; Oil and Gas Drilling; Oil and Gas Equipment and Services; Oil and Gas Field Services; Real Estate; Real Estate; Real Estate Development; Real Estate Management and Development; Transportation; Transportation Infrastructure,401.00,33.30,-58.80,65.60,119.30,15.40,60.40,-6.19,-45.70,-53.90,-24.20,-16.70,20.60,-13.50,2.40
NasdaqCM:NEPT,Common Shares,Neptune Wellness Solutions Inc.,Active,Nasdaq Capital Market (NasdaqCM), 1.27 ,Common Stock,0001401395,Consumer Staples (Primary); Household and Personal Products (Primary); Personal Products (Primary); Personal Products (Primary); Vitamins and Nutritional Supplements (Primary); Edible Oils; Food Products; Food Beverage and Tobacco; Health Care; Medicinal Chemicals and Botanical Products; Packaged Foods and Meats; Pharmaceuticals; Pharmaceuticals; Pharmaceuticals Biotechnology and Life Sciences,369.20,-45.10,-74.90,146.40,14.50,30.40,-13.30,8.21,-19.70,-35.20,-7.95,126.60,50.80,-41.30,-28.30
NasdaqCM:THTX,Common Shares,Theratechnologies Inc.,Active,Nasdaq Capital Market (NasdaqCM), 3.43 ,Common Stock,0001512717,Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Anti-infective Drugs; Oncology Drugs; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals; Protease Inhibitor and AIDS treatments  ,347.70,-7.14,-81.00,209.60,-0.41,-48.20,-82.70,-1.16,78.80,90.80,209.00,56.30,30.30,-65.80,41.70
